rebel_type			Brigantes	//Britons
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian general's cavalry early

rebel_type 			Liby_Phoenician		//Carthage
category			peasant_revolt
chance				0
description			Liby_Phoenician
unit				carthaginian cavalry
unit				merc libyan infantry
unit				merc libyan infantry
unit				merc libyan infantry
unit				carthaginian peasant
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian general's cavalry early

rebel_type 			Garamantian		//numidia
category			peasant_revolt
chance				0
description			Garamantian
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian cavalry
unit				merc libyan infantry
unit				merc libyan infantry
unit				carthaginian general's cavalry early

rebel_type 			Nasamones		//numidia
category			peasant_revolt
chance				0
description			Nasamones
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				merc libyan infantry
unit				merc libyan infantry
unit				carthaginian general's cavalry early

rebel_type 			Agisymban		//numidia
category			peasant_revolt
chance				0
description			Agisymban
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian general's cavalry early

rebel_type 			Emporiote		//greek_cities
category			peasant_revolt 
chance				0
description			Emporiote
unit				carthaginian cavalry
unit				barb archer slave
unit				greek peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Hemeroskopeiote		//greek_cities
category			peasant_revolt 
chance				0
description			Hemeroskopeiote
unit				carthaginian cavalry
unit				greek peasant
unit				merc spanish infantry
unit				carthaginian infantry
unit				carthaginian infantry
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Turdetanian	//Spain
category			peasant_revolt 
chance				0
description			Turdetanian
unit				carthaginian cavalry
unit				merc balearic slingers
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				merc spanish infantry
unit				barbarian rebel general

rebel_type 			Celtiberian	//Spain
category			peasant_revolt 
chance				0
description			Celtiberian
unit				carthaginian cavalry
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				barb naked fanatics slave
unit				merc spanish infantry
unit				barbarian rebel general

rebel_type 			Cantabrian	//Spain
category			peasant_revolt 
chance				0
description			Cantabrian
unit				carthaginian cavalry
unit				carthaginian medium cavalry
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				merc spanish infantry
unit				barbarian rebel general

rebel_type 			Asturian	//Spain
category			peasant_revolt 
chance				0
description			Asturian
unit				carthaginian cavalry
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				merc spanish infantry
unit				merc spanish infantry
unit				barbarian rebel general

rebel_type 			Lusitanian	//Spain
category			peasant_revolt 
chance				0
description			Lusitanian
unit				carthaginian cavalry
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				merc spanish infantry
unit				merc spanish infantry
unit				barbarian rebel general

rebel_type 			Histrian		//dacia
category			peasant_revolt 
chance				0
description			Histrian
unit				barb cavalry slave
unit				barb peasant slave
unit				merc illyrian
unit				merc illyrian
unit				barb infantry slave
unit				barb infantry slave
unit				greek hoplite
unit				barbarian rebel general

rebel_type 			Libernian		//dacia
category			peasant_revolt 
chance				0
description			Libernian
unit				barb cavalry slave
unit				barb peasant slave
unit				merc illyrian
unit				merc illyrian
unit				barb infantry slave
unit				barb infantry slave
unit				greek hoplite
unit				barbarian rebel general

rebel_type 			Daorsian		//dacia
category			peasant_revolt 
chance				0
description			Daorsian
unit				barb cavalry slave
unit				barb peasant slave
unit				merc illyrian
unit				merc illyrian
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Tauriscian		//gauls
category			peasant_revolt 
chance				0
description			Tauriscian
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Eraviscian		//gauls
category			peasant_revolt 
chance				0
description			Eraviscian
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Dardanian		//thrace
category			peasant_revolt 
chance				3
description			Dardanian
unit				greek cavalry
unit				greek peltast
unit				greek peltast
unit				merc thracian
unit				merc thracian
unit				merc bastarnae
unit				greek hoplite
unit				barbarian rebel general

rebel_type 			Daci		//dacia
category			peasant_revolt 
chance				0
description			Daci
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				merc warband falx
unit				merc warband falx
unit				barb naked fanatics slave
unit				merc bastarnae
unit				barbarian rebel general

rebel_type 			Getae		//dacia
category			peasant_revolt 
chance				0
description			Getae
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				merc warband falx
unit				merc warband falx
unit				merc bastarnae
unit				barbarian rebel general

rebel_type 			Triballian		//thrace
category			peasant_revolt 
chance				3
description			Triballian
unit				greek cavalry
unit				barb peasant slave
unit				greek peltast
unit				greek peltast
unit				merc thracian
unit				merc thracian
unit				merc bastarnae
unit				barbarian rebel general

rebel_type 			Tyle		//gauls
category			peasant_revolt 
chance				3
description			Tyle
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb archer slave
unit				merc thracian
unit				merc thracian
unit				barb naked fanatics slave
unit				merc bastarnae
unit				barbarian rebel general

rebel_type 			Moesian		//thrace
category			peasant_revolt 
chance				3
description			Moesian
unit				greek cavalry
unit				greek peltast
unit				greek peltast
unit				merc thracian
unit				merc bastarnae
unit				greek hoplite militia
unit				greek hoplite militia
unit				barbarian rebel general

rebel_type 			Emathian		//Macedon
category			peasant_revolt 
chance				0
description			Emathian
unit				greek cavalry
unit				merc sarissa cavalry
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				merc greek pikemen
unit				greek general's guard cavalry early

rebel_type 			Pelagonian		//Macedon
category			peasant_revolt 
chance				0
description			Pelagonian
unit				greek cavalry
unit				merc sarissa cavalry
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				merc greek pikemen
unit				greek general's guard cavalry early

rebel_type 			Boeotian	//greek_cities
category			peasant_revolt 
chance				0
description			Boeotian
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Euboean	//greek_cities
category			peasant_revolt 
chance				0
description			Euboean
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Arcadian	//greek_cities
category			peasant_revolt 
chance				0
description			Arcadian
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Taurican	//Scythians
category			peasant_revolt 
chance				0
description			Taurican
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb cavalry slave
unit				barb peasant slave
unit				barb archer slave
unit				merc barb scythian hoplite
unit				barbarian rebel general

rebel_type 			Harpian	//dacia
category			peasant_revolt 
chance				0
description			Harpian
unit				barb horse archers slave
unit				barb cavalry slave
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				merc warband falx
unit				barbarian rebel general

rebel_type 			Agathyrsian	//Scythians
category			peasant_revolt 
chance				0
description			Agathyrsian
unit				barb horse archers slave
unit				barb cavalry slave
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				barbarian rebel general

rebel_type 			Siraces	//Scythians
category			peasant_revolt 
chance				0
description			Siraces
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				merc sarmatian cavalry
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barbarian rebel general

rebel_type 			Hunni		//Scythians
category			peasant_revolt 
chance				0
description			Hunni
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				merc barb wardogs
unit				eastern rebel general

rebel_type 			Asii		//Scythians
category			peasant_revolt 
chance				0
description			Asii
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east archer
unit				eastern rebel general

rebel_type 			Issedones		//Scythians
category			peasant_revolt 
chance				0
description			Issedones
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc sarmatian cavalry
unit				east peasant
unit				east archer
unit				east archer
unit				eastern rebel general

rebel_type 			Massagetae		//Parthia
category			peasant_revolt 
chance				0
description			Massagetae
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				east peasant
unit				east archer
unit				east archer
unit				eastern rebel general

rebel_type 			Tocharian		//Parthia
category			peasant_revolt 
chance				0
description			Tocharian
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				merc barb scythian hoplite
unit				eastern rebel general

rebel_type 			Khotanese		//Parthia
category			peasant_revolt 
chance				0
description			Khotanese
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				merc barb scythian hoplite
unit				eastern rebel general

rebel_type 			Seres	//Parthia
category			peasant_revolt 
chance				0
description			Seres
unit				east horse archer
unit				merc east heavy cataphract
unit				merc east heavy cataphract
unit				east archer
unit				east archer
unit				merc barb scythian hoplite
unit				merc barb scythian hoplite
unit				eastern rebel general

rebel_type 			Asmiraian		//Parthia
category			peasant_revolt 
chance				0
description			Asmiraian
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				merc barb scythian hoplite
unit				eastern rebel general

rebel_type 			Sogdian		//Parthia
category			peasant_revolt 
chance				0
description			Sogdian
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east archer
unit				east archer
unit				merc barb scythian hoplite
unit				eastern rebel general

rebel_type 			Baktrian		//seleucids
category			peasant_revolt 
chance				0
description			Baktrian
unit				east horse archer
unit				merc sarissa cavalry
unit				merc east heavy cataphract
unit				merc east heavy cataphract
unit				east archer
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Chorasmian		//Parthia
category			peasant_revolt 
chance				0
description			Chorasmian
unit				east horse archer
unit				merc east heavy cataphract
unit				merc east heavy cataphract
unit				east archer
unit				east archer
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Amardian		//Scythians
category			peasant_revolt 
chance				0
description			Amardian
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				east peasant
unit				east archer
unit				east archer
unit				eastern rebel general

rebel_type 			Dahae		//Parthia
category			peasant_revolt 
chance				0
description			Dahae
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				merc east heavy cataphract
unit				east archer
unit				eastern rebel general

rebel_type 			Margian		//Parthia
category			peasant_revolt 
chance				0
description			Margian
unit				east horse archer
unit				merc east heavy cataphract
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Cyrenaican	//greek_cities
category			peasant_revolt 
chance				0
description			Cyrenaican
unit				greek cavalry
unit				greek peasant
unit				egyptian peltast
unit				egyptian peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Egyptian	//egyptian
category			peasant_revolt 
chance				0
description			Egyptian
unit				merc sarissa cavalry
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				merc hypaspists
unit				greek hoplite militia
unit				greek hoplite
unit				egyptian general's bodyguard early

rebel_type 			Nubian	//egyptian
category			peasant_revolt 
chance				0
description			Nubian
unit				egyptian archer
unit				egyptian archer
unit				egyptian archer
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Blemmyan	//egyptian
category			peasant_revolt 
chance				0
description			Blemmyan
unit				egyptian archer
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Meroitian	//egyptian
category			peasant_revolt 
chance				0
description			Meroitian
unit				egyptian archer
unit				egyptian archer
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Daamat	//egyptian
category			peasant_revolt 
chance				0
description			Daamat
unit				egyptian archer
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Macrobian	//egyptian
category			peasant_revolt 
chance				0
description			Macrobian
unit				egyptian archer
unit				egyptian archer
unit				egyptian archer
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Aksumite	//egyptian
category			peasant_revolt 
chance				0
description			Aksumite
unit				egyptian archer
unit				egyptian archer
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Cyenean	//egyptian
category			peasant_revolt 
chance				0
description			Cyenean
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian general's bodyguard early

rebel_type 			Sabaean	//parthia
category			peasant_revolt 
chance				0
description			Sabaean
unit				merc bedouin archers
unit				merc arab cavalry
unit				merc arab cavalry
unit				east archer
unit				east archer
unit				east peasant
unit				east infantry
unit				eastern rebel general

rebel_type 			Hadhramut	//parthia
category			peasant_revolt 
chance				0
description			Hadhramut
unit				merc bedouin archers
unit				merc bedouin
unit				merc bedouin
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Lihyan	//parthia
category			peasant_revolt 
chance				0
description			Lihyan
unit				merc bedouin archers
unit				merc bedouin
unit				merc bedouin
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Maka	//parthia
category			peasant_revolt 
chance				0
description			Maka
unit				merc bedouin archers
unit				merc arab cavalry
unit				merc arab cavalry
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Gerrhan	//parthia
category			peasant_revolt 
chance				0
description			Gerrhan
unit				merc arab cavalry
unit				merc arab cavalry
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Qedarite	//parthia
category			peasant_revolt 
chance				0
description			Qedarite
unit				merc bedouin archers
unit				merc bedouin archers
unit				merc bedouin
unit				merc bedouin
unit				merc arab cavalry
unit				merc arab cavalry
unit				east peasant
unit				eastern rebel general

rebel_type 			Decapoliote		//seleucids
category			peasant_revolt 
chance				0
description			Decapoliote
unit				carthaginian cavalry
unit				greek peasant
unit				east archer
unit				merc syrian archer
unit				rebel judaean zealots
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Assyrian		//Parthia
category			peasant_revolt 
chance				0
description			Assyrian
unit				east heavy cavalry
unit				east heavy cavalry
unit				east archer
unit				merc syrian archer
unit				east infantry
unit				merc east heavy infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Babylonian		//Parthia
category			peasant_revolt 
chance				0
description			Babylonian
unit				east heavy cavalry
unit				east heavy cavalry
unit				east archer
unit				merc syrian archer
unit				east infantry
unit				merc east heavy infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Sumerian		//Parthia
category			peasant_revolt 
chance				0
description			Sumerian
unit				east heavy cavalry
unit				east heavy cavalry
unit				east archer
unit				merc syrian archer
unit				east infantry
unit				merc east heavy infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Pergamene	//thrace
category			peasant_revolt 
chance				0
description			Pergamene
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				merc thracian
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Carian		//greek_cities
category			peasant_revolt 
chance				0
description			Carian
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Pamphylian		//Seleucid
category			peasant_revolt 
chance				0
description			Pamphylian
unit				greek cavalry
unit				greek medium cavalry
unit				greek peasant
unit				greek peltast
unit				merc hypaspists
unit				greek hoplite militia
unit				merc cilician pirate
unit				greek general's guard cavalry early

rebel_type 			Lydian		//Seleucid
category			peasant_revolt 
chance				0
description			Lydian
unit				east heavy cavalry
unit				merc sarissa cavalry
unit				merc sarissa cavalry
unit				greek peasant
unit				merc barb wardogs
unit				merc hypaspists
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Phrygian		//pontus
category			peasant_revolt 
chance				0
description			Phrygian
unit				east heavy cavalry
unit				east heavy cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				eastern rebel general

rebel_type 			Lycaonian		//pontus
category			peasant_revolt 
chance				0
description			Lycaonian
unit				merc sarissa cavalry
unit				east heavy cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				eastern rebel general

rebel_type 			Trapezuntine		//pontus
category			peasant_revolt 
chance				0
description			Trapezuntine
unit				east heavy cavalry
unit				greek peasant
unit				east archer
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				eastern rebel general

rebel_type 			Suppani	//Armenia
category			peasant_revolt 
chance				0
description			Suppani
unit				east horse archer
unit				east heavy cavalry
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Urartian	//Armenia
category			peasant_revolt 
chance				0
description			Urartian
unit				east horse archer
unit				east heavy cavalry
unit				east peasant
unit				east archer
unit				east infantry
unit				merc east heavy infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Alarodian	//Armenia
category			peasant_revolt 
chance				0
description			Alarodian
unit				east horse archer
unit				east heavy cavalry
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Iberian	//Armenia
category			peasant_revolt 
chance				0
description			Iberian
unit				east horse archer
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Albanian	//Armenia
category			peasant_revolt 
chance				0
description			Albanian
unit				east horse archer
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Atropatene		//Parthia
category			peasant_revolt 
chance				0
description			Atropatene
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east archer
unit				merc east heavy infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Persian		//Parthia
category			peasant_revolt 
chance				0
description			Persian
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east infantry
unit				merc east heavy infantry
unit				eastern rebel general

rebel_type 			Parthian		//Parthia
category			peasant_revolt 
chance				0
description			Parthian
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Parni		//Parthia
category			peasant_revolt 
chance				0
description			Parni
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Arian		//Parthia
category			peasant_revolt 
chance				0
description			Arian
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Carmanian		//Parthia
category			peasant_revolt 
chance				0
description			Carmanian
unit				east horse archer
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Arachosian		//Parthia
category			peasant_revolt 
chance				0
description			Arachosian
unit				east horse archer
unit				east horse archer
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Paropamisidaen		//Parthia
category			peasant_revolt 
chance				0
description			Paropamisidaen
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Gandhara		//Indian
category			peasant_revolt 
chance				0
description			Gandhara
unit				merc east heavy cataphract
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Asvaka		//Indian
category			peasant_revolt 
chance				0
description			Asvaka
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Taxilan		//Indian
category			peasant_revolt 
chance				0
description			Taxilan
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Indo_Greek		//Indian
category			peasant_revolt 
chance				0
description			Indo_Greek
unit				east peasant
unit				greek medium cavalry
unit				east archer
unit				east archer
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite
unit				eastern rebel general

rebel_type 			Purus		//Indian
category			peasant_revolt 
chance				0
description			Purus
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Yaudheya		//Indian
category			peasant_revolt 
chance				0
description			Yaudheya
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Sivi		//Indian
category			peasant_revolt 
chance				0
description			Sivi
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				greek hoplite militia
unit				greek hoplite militia
unit				eastern rebel general

rebel_type 			Sauviran		//Indian
category			peasant_revolt 
chance				0
description			Sauviran
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Patalene		//Indian
category			peasant_revolt 
chance				0
description			Patalene
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Kaccha		//Indian
category			peasant_revolt 
chance				0
description			Kaccha
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Saurastra		//Indian
category			peasant_revolt 
chance				0
description			Saurastra
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Avanti		//Indian
category			peasant_revolt 
chance				0
description			Avanti
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Aparanta		//Indian
category			peasant_revolt 
chance				0
description			Aparanta
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Mulaka		//Indian
category			peasant_revolt 
chance				0
description			Mulaka
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Dandaka		//Indian
category			peasant_revolt 
chance				0
description			Dandaka
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Matsya		//Indian
category			peasant_revolt 
chance				0
description			Matsya
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Shurasena		//Indian
category			peasant_revolt 
chance				0
description			Shurasena
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Kuru		//Indian
category			peasant_revolt 
chance				0
description			Kuru
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Pancala		//Indian
category			peasant_revolt 
chance				0
description			Pancala
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Cedi		//Indian
category			peasant_revolt 
chance				0
description			Cedi
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Kosola		//Indian
category			peasant_revolt 
chance				0
description			Kosola
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Kasi		//Indian
category			peasant_revolt 
chance				0
description			Kasi
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Malla		//Indian
category			peasant_revolt 
chance				0
description			Malla
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Vidarbha		//Indian
category			peasant_revolt 
chance				0
description			Vidarbha
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Pulinda		//Indian
category			peasant_revolt 
chance				0
description			Pulinda
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Asmaka		//Indian
category			peasant_revolt 
chance				0
description			Asmaka
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Savara		//Indian
category			peasant_revolt 
chance				0
description			Savara
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Andhra		//Indian
category			peasant_revolt 
chance				0
description			Andhra
unit				east peasant
unit				east archer
unit				east archer
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Kalinga		//Indian
category			peasant_revolt 
chance				0
